"id","flight_number","date","from_city","airport_out_code","to_city","airport_to_code","scheduled_time_of_departure","actual_time_of_departure","flight_time","landed_time","scheduled_time_of_arrival","aircraft_code","aircraft_model","date_of_load"
1585,"EK9993","2025-01-10","Dubai ","DWC","Amsterdam ","AMS","09:20","09:56","6:58","13:53","13:45","A6-EFN","Boeing 777-F1H","2025-01-10 00:00:00"
48,"EK2587","2025-01-03","Dubai ","DWC","Dubai ","DXB","13:40","13:40","0:27","14:07","14:07","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
49,"EK2557","2025-01-03","Dubai ","DWC","Dubai ","DWC","12:49","12:49","0:31","13:20","13:20","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
50,"EK2556","2025-01-03","Dubai ","DWC","Dubai ","DWC","11:49","11:49","0:29","12:18","12:18","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
51,"EK2555","2025-01-03","Dubai ","DWC","Dubai ","DWC","11:02","11:02","0:26","11:29","11:29","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
52,"EK2554","2025-01-03","Dubai ","DWC","Dubai ","DWC","10:17","10:17","0:28","10:45","10:45","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
53,"EK2586","2025-01-03","Dubai ","DXB","Dubai ","DWC","09:13","09:13","0:28","09:41","09:41","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
2,"EK24","2025-01-08","Edinburgh ","EDI","Dubai ","DXB","20:40","21:16","6:35","07:51","08:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
3,"EK23","2025-01-08","Dubai ","DXB","Edinburgh ","EDI","14:50","15:23","7:45","19:09","19:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
4,"EK24","2025-01-07","Edinburgh ","EDI","Dubai ","DXB","20:40","21:11","6:41","07:52","08:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
5,"EK23","2025-01-07","Dubai ","DXB","Edinburgh ","EDI","14:50","15:15","7:29","18:45","19:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
6,"EK24","2025-01-06","Edinburgh ","EDI","Dubai ","DXB","20:40","21:15","6:51","08:06","08:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
7,"EK23","2025-01-06","Dubai ","DXB","Edinburgh ","EDI","14:50","15:27","7:29","18:56","19:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
8,"EK24","2025-01-05","Edinburgh ","EDI","Dubai ","DXB","20:40","22:08","6:34","08:42","08:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
9,"EK23","2025-01-05","Dubai ","DXB","Edinburgh ","EDI","14:50","15:14","8:01","19:14","19:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
10,"EK24","2025-01-04","Edinburgh ","EDI","Dubai ","DXB","20:40","22:06","6:11","08:17","08:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
11,"EK23","2025-01-04","Dubai ","DXB","Edinburgh ","EDI","14:50","15:20","8:17","19:37","19:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
12,"EK24","2025-01-03","Edinburgh ","EDI","Dubai ","DXB","20:40","22:00","6:26","08:27","08:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
13,"EK23","2025-01-03","Dubai ","DXB","Edinburgh ","EDI","14:50","15:26","7:53","19:18","19:05","A6-EXA","Airbus A350-941","2025-01-10 00:00:00"
14,"EK840","2025-01-09","Bahrain ","BAH","Dubai ","DXB","17:45","17:58","0:53","19:51","20:00","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
15,"EK839","2025-01-09","Dubai ","DXB","Bahrain ","BAH","16:00","16:18","0:55","16:12","16:20","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
16,"EK838","2025-01-09","Bahrain ","BAH","Dubai ","DXB","10:00","10:02","0:58","12:00","12:15","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
17,"EK837","2025-01-09","Dubai ","DXB","Bahrain ","BAH","08:20","08:44","0:56","08:40","08:40","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
18,"EK854","2025-01-09","Kuwait City ","KWI","Dubai ","DXB","03:40","03:59","1:21","06:20","06:25","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
19,"EK853","2025-01-08","Dubai ","DXB","Kuwait City ","KWI","01:25","01:50","1:22","02:12","02:15","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
20,"EK840","2025-01-08","Bahrain ","BAH","Dubai ","DXB","17:45","18:06","0:53","19:59","20:00","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
21,"EK839","2025-01-08","Dubai ","DXB","Bahrain ","BAH","16:00","16:37","0:52","16:29","16:20","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
22,"EK838","2025-01-08","Bahrain ","BAH","Dubai ","DXB","10:00","10:11","0:46","11:58","12:15","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
